Отменить последнее действие	 Ctrl + Z
 Отменить последнюю отмену действия	 Ctrl + Shift + Z
 Расширенная вставка из буфера обмена (с историей)	 Ctrl + Shift + V
 Инкрементальное выделение выражения	 Ctrl (+ Shift) + W
 Перемещение между словами	 Ctrl + влево/вправо
 Прокрутка кода без изменения позиции курсора	 Ctrl + вверх/вниз
 Переход в начало/конец файла	 Ctrl + Home/End
 Удаление строки, отличие в том, где потом окажется курсор	 Shift + Del (Ctrl + Y)
 Удалить от текущей позиции до конца слова	 Ctrl + Del
 Удалить от текущей позиции до начала слова	 Ctrl + Backspace
 Дублировать текущую строку	 Ctrl + D
Увеличить / уменьшить текущий отступ	Tab / Shift + Tab
Выравнивание отступов в коде	Ctrl + Alt + I
Приведение кода в соответствие Code-Style	Ctrl + Alt + L
Закомментировать/раскомментировать текущую строку	Ctrl + /
Закомментировать/раскомментировать выделенный код	Ctrl + Shift + /
Фолдинг, свернуть/развернуть	Ctrl + -/+
Фолдинг, свернуть/развернуть все	Ctrl + Shift + -/+
Сделать текущий скоуп сворачиваемым и свернуть его	Ctrl + Shift + .
Сделать текущий скоуп несворачиваемым	Ctrl + .
Замена в тексте	Ctrl + R
Замена во всех файлах	Ctrl + Shift + R


